rank_method,group_percentile,mean_standardized_difference
avg_ra_rank,Top 20%,17.644371651588173
avg_ra_rank,Top 5%,10.512977768411407
bcs_rank,Top 10%,13.89313595295289
bcs_rank,Top 20%,17.664379689165226
bcs_rank,Top 5%,10.249258131155944
lasso_rank,Top 10%,14.900908937588465
lasso_rank,Top 20%,18.517584912732225
lasso_rank,Top 5%,11.671261063032071
logs_rank,Top 10%,13.680802677634377
logs_rank,Top 20%,17.697042176860663
logs_rank,Top 5%,10.17065595410931
mc4_rank,Top 10%,14.111058023201966
mc4_rank,Top 20%,17.770194684293024
mc4_rank,Top 5%,11.246660238899574
mct_rank,Top 10%,14.13404771370118
mct_rank,Top 20%,17.729561357767214
mct_rank,Top 5%,11.169421035075027
mu_rank,Top 10%,13.872548212214275
mu_rank,Top 20%,17.647697265271574
mu_rank,Top 5%,10.363875625374932
ols_rank,Top 10%,14.465978686696726
ols_rank,Top 20%,18.062582924913574
ols_rank,Top 5%,11.240884575025575
sbs_rank,Top 10%,13.865957535985013
sbs_rank,Top 20%,17.660735601721537
sbs_rank,Top 5%,10.247861930856244
true_rank,Top 10%,65.27838229507356
true_rank,Top 20%,74.02428516809903
true_rank,Top 5%,56.80596703775023
