rank_method,group_percentile,mean_standardized_difference
PGS004212_rank,Top 5%,11.342857886854732
PGS004213_rank,Top 10%,14.607143721977298
PGS004213_rank,Top 20%,18.121321127134856
PGS004213_rank,Top 5%,11.30268153643023
PGS004214_rank,Top 10%,14.604670421267434
PGS004214_rank,Top 20%,18.14676996748402
PGS004214_rank,Top 5%,11.507236553932064
PGS004215_rank,Top 10%,14.727220654682558
PGS004215_rank,Top 20%,18.036066737858373
PGS004215_rank,Top 5%,11.26635433581082
ams_rank,Top 10%,16.737817316526364
ams_rank,Top 20%,20.223586741128805
ams_rank,Top 5%,13.24763934524033
avg_pgs_rank,Top 10%,-0.9546556166155373
avg_pgs_rank,Top 20%,0.05732314135621889
avg_pgs_rank,Top 5%,-1.8897670887298026
avg_ra_rank,Top 10%,16.830812467546274
avg_ra_rank,Top 20%,20.440189765434404
avg_ra_rank,Top 5%,13.401915892470532
bcs_rank,Top 10%,16.67234265199523
bcs_rank,Top 20%,20.24605004773281
bcs_rank,Top 5%,13.174954529128636
lasso_rank,Top 10%,17.67481019005465
lasso_rank,Top 20%,21.35674139937025
lasso_rank,Top 5%,14.23512600069004
logs_rank,Top 10%,16.366074538012132
logs_rank,Top 20%,20.015278577285855
logs_rank,Top 5%,12.94833889590695
mc4_rank,Top 10%,17.261738057447232
mc4_rank,Top 20%,20.6370958457854
mc4_rank,Top 5%,13.521687553904354
mct_rank,Top 10%,17.219550386624167
mct_rank,Top 20%,20.562384990346708
mct_rank,Top 5%,13.563821126602218
mu_rank,Top 10%,16.73714683633053
mu_rank,Top 20%,20.22405429901003
mu_rank,Top 5%,13.248283678539984
ols_rank,Top 10%,17.313712938974636
ols_rank,Top 20%,20.735076060517418
ols_rank,Top 5%,14.080180711390671
sbs_rank,Top 10%,16.669446166346123
sbs_rank,Top 20%,20.245642558812882
sbs_rank,Top 5%,13.174848704801487
true_rank,Top 10%,98.96116455025476
true_rank,Top 20%,108.2490692617554
true_rank,Top 5%,86.24943887650392
